date,balance_max_abs,soc_equation_max_abs,soc_min,soc_max,charge_max,discharge_max,negative_min,simultaneous_max,pass,lp_eq_residual,lp_dual_gap_relative,lp_stationarity
2025-07-26,0.0000000000,0.0000000000,1625.9117000000,10800.0000000000,833.3333333333,730.4740333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-27,0.0000000000,0.0000000000,1575.5336199769,10800.0000000000,833.3333333333,808.1992658333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-28,0.0000000000,0.0000000000,1729.4489450000,10800.0000000000,833.3333333333,817.4153125000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-29,0.0000000000,0.0000000000,1874.0408381482,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-30,0.0000000000,0.0000000000,2241.1891872222,10800.0000000000,833.3333333333,787.2305110000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-31,0.0000000000,0.0000000000,1850.8104988889,10800.0000000000,833.3333333333,804.0319185000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-08-01,0.0000000000,0.0000000000,2082.3473472222,10800.0000000000,833.3333333333,725.0833333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-08-02,0.0000000000,0.0000000000,1994.1892085185,10800.0000000000,833.3333333333,720.1400000000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-08-03,0.0000000000,0.0000000000,1708.8649127778,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-08-04,0.0000000000,0.0000000000,2196.6772972222,10800.0000000000,833.3333333333,794.7250538333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-08-05,0.0000000000,0.0000000000,1989.5578605556,10800.0000000000,833.3333333333,803.1827533333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-08-06,0.0000000000,0.0000000000,1773.4817650852,10800.0000000000,833.3333333333,790.2724255000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-08-07,0.0000000000,0.0000000000,1721.9964501852,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-08-08,0.0000000000,0.0000000000,1872.4976481482,10800.0000000000,833.3333333333,720.2655166667,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-08-09,0.0000000000,0.0000000000,1896.6276111111,10800.0000000000,833.3333333333,700.3216666667,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-08-10,0.0000000000,0.0000000000,1737.6640253704,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-08-11,0.0000000000,0.0000000000,1534.1818359259,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-08-12,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-08-13,0.0000000000,0.0000000000,1760.2813151852,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-08-14,0.0000000000,0.0000000000,1449.6596495370,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-08-15,0.0000000000,0.0000000000,1875.4367952741,10800.0000000000,833.3333333333,707.0260333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-08-16,0.0000000000,0.0000000000,1522.0008093778,10800.0000000000,833.3333333333,731.8950000000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-08-17,0.0000000000,0.0000000000,1512.4468334500,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-08-18,0.0000000000,0.0000000000,1515.1637520370,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-08-19,0.0000000000,0.0000000000,1610.8576272593,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
