date,day,initial_soc,terminal_soc,total_cost,planned_cost,emergency_cost,planned_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slots,emergency_day,events,adjusted_cost,inventory_value_rate,reference_terminal_target,alpha,rho,window,smooth,features,k,blend,solve_seconds
2025-04-28,117,6321.5149783111,6238.5778600500,57048.1158290304,33708.0091418226,23340.1066872078,56689.5339855617,3461.6487631033,471.9309372222,16483.8310590062,13426.5465642300,12,1,1,57082.3319979308,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0496554250
2025-04-29,118,6238.5778600500,6439.1537402222,35412.4985942226,35412.4985942226,0.0000000000,59791.5533188724,0.0000000000,8818.4623271235,17680.8367522490,14140.9594771667,0,0,0,35329.7499005471,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0476792950
2025-04-30,119,6439.1537402222,6158.4323702778,35297.0531653316,35297.0531653316,0.0000000000,59802.3991691708,0.0000000000,8477.4250453107,17477.7311761934,14409.6114856667,0,0,0,35412.8663260654,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0491126880
2025-05-01,120,6158.4323702778,5539.0676515019,45315.0880581232,35883.9618319788,9431.1262261443,60613.3502944753,1450.1928711667,8043.8765759918,18766.9265081502,15758.6387185000,10,1,1,45570.6104137693,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0495731380
2025-05-02,121,5539.0676515019,5632.3141929741,23430.3392851033,14081.3693728812,9348.9699122222,28292.4839364817,1492.3508903400,12399.4900065946,15847.9097345720,12752.8849976783,10,1,2,23391.8699063826,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0402767640
2025-05-03,122,5632.3141929741,5985.1826304000,18791.0874017179,14840.5564496861,3950.5309520317,29431.0062404900,707.3052260000,18003.1356326155,15528.5399483745,12260.5357645000,8,1,1,18645.5095674776,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0383653020
2025-05-04,123,5985.1826304000,5929.7661240204,40102.1210106261,37636.9245517664,2465.1964588597,63141.7066599506,410.3316403333,8600.4933815926,17193.4339005247,13976.5563151667,8,1,1,40124.9833982025,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0461914170
2025-05-05,124,5929.7661240204,6049.2668643148,40832.7542525283,38300.7948426309,2531.9594098974,64244.6578327613,363.2698364867,5526.1363958416,20517.0200375864,16511.2355641800,2,1,1,40783.4535582268,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0460324390
2025-05-06,125,6049.2668643148,5835.8266010648,37954.4164123414,37707.4319672893,246.9844450520,62789.8645934053,44.8481386000,6382.4096136749,19864.8262557304,16282.6055040667,3,1,2,38042.4723787244,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0455399140
2025-05-07,126,5835.8266010648,6187.2991988000,42737.5971221858,38303.1993544507,4434.3977677351,64152.9700500103,643.0328204942,5627.0839131481,19919.7245757613,15818.6515684050,2,1,1,42592.5951493646,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0453189690
2025-05-08,127,6187.2991988000,6348.1919259556,39061.1703499399,38817.9414173149,243.2289326250,63857.3018321440,35.9992500000,4278.7749326358,19174.7910266749,15386.7772771667,1,1,1,38994.7931615034,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0457531780
2025-05-09,128,6348.1919259556,6753.9570448963,15722.3837559353,15722.3837559353,0.0000000000,29657.3655894733,0.0000000000,17734.4958150041,16096.2911443292,12672.8072198600,0,0,0,15554.9831018657,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0417284290
2025-05-10,129,6753.9570448963,6705.1786530000,16030.5141705095,16030.5141705095,0.0000000000,30032.1581380933,0.0000000000,15007.1764881379,15514.9311543621,12610.9947877400,0,0,0,16050.6379670774,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0410807630
2025-05-11,130,6705.1786530000,6458.4872005130,39571.0896337127,39293.7285942543,277.3610394583,65115.9922203868,41.1807166667,6442.2684330412,18172.8827785123,14942.0573578333,2,1,1,39672.8635629443,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0475397850
2025-05-12,131,6458.4872005130,6896.1537464167,39773.7540309321,39773.7540309321,0.0000000000,65987.3620421646,0.0000000000,10515.6619148333,16561.0789614979,13020.5740675000,0,0,0,39593.1922659387,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0471519070
2025-05-13,132,6896.1537464167,6643.7081360926,39049.2980923136,39049.2980923136,0.0000000000,64574.3595280926,0.0000000000,8264.7839739095,17934.5465095165,14754.1837220000,0,0,0,39153.4459313284,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0474246280
2025-05-14,133,6643.7081360926,6790.2083085259,39410.9952861273,39410.9952861273,0.0000000000,65295.8782180000,0.0000000000,8757.7590704856,17853.2642578477,14329.2938936667,0,0,0,39350.5558261001,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0479721870
2025-05-15,134,6790.2083085259,7328.1987621056,39239.9125955468,39239.9125955468,0.0000000000,64433.1280537984,0.0000000000,7679.5422286934,18443.8743871049,14455.3468453333,0,0,0,39017.9616450867,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0487323530
