date,total_cost_B0,inventory_adjusted_cost_B0,emergency_cost_B0,emergency_kwh_B0,soc_start_B0,soc_end_B0,soc_min_B0,mean_price,total_cost_H3,inventory_adjusted_cost_H3,emergency_cost_H3,emergency_kwh_H3,soc_start_H3,soc_end_H3,soc_min_H3,adjusted_diff_H3_minus_B0,B0_top17,H3_top17
2025-07-06,74060.8003750000,74060.8003750000,4581.0541330000,991.5406430000,1200.0000000000,1200.0000000000,1200.0000000000,0.8986710000,76000.9017760000,75969.2321780000,5634.5463280000,1017.1417000000,1200.0000000000,1276.7644440000,1200.0000000000,1908.4318030000,True,True
2025-07-07,71821.7305520000,71815.5409200000,13205.1987840000,2661.6675290000,1200.0000000000,1215.0031480000,1200.0000000000,0.8773900000,73531.3641890000,73563.0337870000,14380.4456290000,2820.6139200000,1276.7644440000,1200.0000000000,1200.0000000000,1747.4928670000,False,True
2025-07-08,64170.6300270000,63778.6178180000,1379.7908130000,350.7629600000,1215.0031480000,2165.2078010000,1200.0000000000,0.8836030000,63065.3830390000,62810.2160760000,317.7856670000,54.9034590000,1200.0000000000,1818.5032760000,1200.0000000000,-968.4017420000,False,False
2025-07-09,61023.1545380000,61376.0302360000,1193.9383210000,166.3070740000,2165.2078010000,1309.8667600000,1200.0000000000,0.8791770000,61365.2432660000,61546.5177480000,2684.3774350000,378.7327790000,1818.5032760000,1379.1091630000,1200.0000000000,170.4875120000,False,False
2025-07-10,61025.6434330000,60725.8872990000,1460.7639840000,251.3891250000,1309.8667600000,2036.4504410000,1200.0000000000,0.8775080000,62410.3376210000,62151.7833300000,1410.4873100000,224.1189750000,1379.1091630000,2005.8230370000,1200.0000000000,1425.8960310000,False,False
2025-07-11,25940.0342740000,26285.1165500000,2024.6494530000,780.2226090000,2036.4504410000,1200.0000000000,1200.0000000000,0.7069470000,26515.2436520000,26847.6904220000,2638.0128580000,527.8355450000,2005.8230370000,1200.0000000000,1200.0000000000,562.5738720000,False,False
2025-07-12,26267.7822710000,26140.3786870000,999.4431670000,459.0111030000,1200.0000000000,1508.8155810000,1200.0000000000,0.6942820000,25651.3747510000,25566.7886400000,0.0000000000,0.0000000000,1200.0000000000,1405.0296260000,1200.0000000000,-573.5900470000,False,False
2025-07-13,60026.9962640000,60151.3161230000,2121.9790720000,267.2968110000,1508.8155810000,1207.4746900000,1200.0000000000,0.8542870000,59155.3309640000,59204.4886250000,3695.5970790000,453.7292030000,1405.0296260000,1285.8755860000,1200.0000000000,-946.8274980000,False,False
2025-07-14,59400.0799210000,59145.0535160000,262.1026400000,66.8900920000,1207.4746900000,1825.6372660000,1200.0000000000,0.8722150000,58423.1420780000,58336.8018960000,6.8590470000,0.8106180000,1285.8755860000,1495.1569310000,1202.6834370000,-808.2516200000,False,False
2025-07-15,61386.4344020000,61351.4026560000,1127.8695720000,131.5913630000,1825.6372660000,1910.5512750000,1200.0000000000,0.8721080000,60252.6781730000,60002.3124870000,1706.9587850000,199.1551490000,1495.1569310000,2102.0223180000,1200.0000000000,-1349.0901690000,False,False
