month,weekday,soc,relative_future_cost
3,4,7200.0,-569.816679999999
3,4,7350.0,-641.0000149999987
3,4,7500.0,-712.1833499999989
3,4,7650.0,-783.366684999999
3,4,7800.0,-854.5500199999956
3,4,7950.0,-925.700021666662
3,4,8100.0,-996.8500233333289
3,4,8250.0,-1068.0000249999953
3,4,8400.0,-1139.1500266666621
3,4,8550.0,-1210.3000283333286
3,4,8700.0,-1281.100029999996
3,4,8850.0,-1351.9000316666634
3,4,9000.0,-1422.7000333333299
3,4,9150.0,-1493.5000349999964
3,4,9300.0,-1564.300036666663
3,4,9450.0,-1635.050038333332
3,4,9600.0,-1705.8000399999983
3,4,9750.0,-1776.5500416666655
3,4,9900.0,-1847.3000433333318
3,4,10050.0,-1918.0500449999972
3,4,10200.0,-1979.9333799999977
3,4,10350.0,-2041.8167149999972
3,4,10500.0,-2103.7000499999976
3,4,10650.0,-2165.583384999997
3,4,10800.0,-2227.4667199999976
3,3,1200.0,2292.35005333335
3,3,1350.0,2220.5000516666832
3,3,1500.0,2148.6500500000166
3,3,1650.0,2076.80004833335
3,3,1800.0,2004.9500466666836
3,3,1950.0,1933.100045000017
3,3,2100.0,1861.2500433333503
3,3,2250.0,1789.4000416666836
3,3,2400.0,1717.550040000017
3,3,2550.0,1645.7000383333502
3,3,2700.0,1574.0000366666732
3,3,2850.0,1502.3000350000066
3,3,3000.0,1430.6000333333398
3,3,3150.0,1358.9000316666732
3,3,3300.0,1287.200030000012
3,3,3450.0,1215.516695000012
3,3,3600.0,1143.8333600000121
3,3,3750.0,1072.1500250000122
3,3,3900.0,1000.466690000012
3,3,4050.0,928.7833550000121
3,3,4200.0,857.2333533333394
3,3,4350.0,785.6833516666725
3,3,4500.0,714.133350000006
3,3,4650.0,642.5833483333395
3,3,4800.0,571.0333466666725
3,3,4950.0,499.61667833333604
3,3,5100.0,428.20001000000275
3,3,5250.0,356.78334166666946
3,3,5400.0,285.36667333333617
3,3,5550.0,213.95000500000288
3,3,5700.0,142.63333666666495
3,3,5850.0,71.31666833333156
3,3,6000.0,-1.3642420526593924e-12
3,3,6150.0,-71.31666833333475
3,3,6300.0,-142.63333666666813
3,3,6450.0,-213.83333833333654
3,3,6600.0,-285.03334000000314
3,3,6750.0,-356.23334166666973
3,3,6900.0,-427.4333433333363
3,3,7050.0,-498.63334500000246
3,3,7200.0,-569.8166800000026
3,3,7350.0,-641.0000150000023
3,3,7500.0,-712.1833500000025
3,3,7650.0,-783.3666850000027
3,3,7800.0,-854.5500200000024
3,3,7950.0,-925.7000216666802
3,3,8100.0,-996.850023333347
3,3,8250.0,-1068.0000250000135
3,3,8400.0,-1139.1500266666803
3,3,8550.0,-1210.3000283333445
3,3,8700.0,-1281.1000300000105
3,3,8850.0,-1351.900031666678
3,3,9000.0,-1422.7000333333444
3,3,9150.0,-1493.500035000011
3,3,9300.0,-1564.3000366666756
3,3,9450.0,-1635.0500383333429
3,3,9600.0,-1705.8000400000092
3,3,9750.0,-1776.5500416666764
3,3,9900.0,-1847.3000433333427
3,3,10050.0,-1918.0500450000081
3,3,10200.0,-1979.9333800000086
3,3,10350.0,-2041.8167150000081
3,3,10500.0,-2103.7000500000086
3,3,10650.0,-2165.583385000008
3,3,10800.0,-2227.4667200000085
3,2,1200.0,2292.3500533333645
3,2,1350.0,2220.500051666698
3,2,1500.0,2148.650050000031
3,2,1650.0,2076.8000483333644
3,2,1800.0,2004.9500466666982
3,2,1950.0,1933.1000450000315
3,2,2100.0,1861.2500433333648
3,2,2250.0,1789.4000416666981
3,2,2400.0,1717.5500400000315
3,2,2550.0,1645.7000383333648
3,2,2700.0,1574.0000366666877
3,2,2850.0,1502.3000350000211
3,2,3000.0,1430.6000333333543
3,2,3150.0,1358.9000316666877
3,2,3300.0,1287.2000300000211
3,2,3450.0,1215.5166950000194
3,2,3600.0,1143.8333600000194
3,2,3750.0,1072.1500250000195
3,2,3900.0,1000.4666900000193
3,2,4050.0,928.7833550000205
3,2,4200.0,857.233353333354
3,2,4350.0,785.683351666687
3,2,4500.0,714.1333500000205
3,2,4650.0,642.583348333354
3,2,4800.0,571.0333466666871
3,2,4950.0,499.6166783333433
3,2,5100.0,428.20001000001
3,2,5250.0,356.78334166667673
3,2,5400.0,285.36667333334344
3,2,5550.0,213.95000500001015
3,2,5700.0,142.63333666666495
3,2,5850.0,71.31666833333156
3,2,6000.0,-1.3642420526593924e-12
3,2,6150.0,-71.31666833333475
3,2,6300.0,-142.63333666666813
3,2,6450.0,-213.83333833333654
3,2,6600.0,-285.03334000000314
3,2,6750.0,-356.23334166666973
3,2,6900.0,-427.4333433333363
3,2,7050.0,-498.63334500000246
3,2,7200.0,-569.8166800000026
3,2,7350.0,-641.0000150000023
3,2,7500.0,-712.1833500000025
3,2,7650.0,-783.3666850000027
3,2,7800.0,-854.5500200000024
3,2,7950.0,-925.7000216666802
3,2,8100.0,-996.850023333347
3,2,8250.0,-1068.0000250000135
3,2,8400.0,-1139.1500266666803
3,2,8550.0,-1210.3000283333445
3,2,8700.0,-1281.1000300000105
3,2,8850.0,-1351.900031666678
3,2,9000.0,-1422.7000333333444
3,2,9150.0,-1493.500035000011
3,2,9300.0,-1564.3000366666756
3,2,9450.0,-1635.0500383333429
3,2,9600.0,-1705.8000400000092
3,2,9750.0,-1776.5500416666764
3,2,9900.0,-1847.3000433333427
3,2,10050.0,-1918.0500450000081
3,2,10200.0,-1979.9333800000086
