day,generation,best,mean
2025-07-04,23,43118.6030656827,49228.3704553139
2025-07-04,24,43118.6030656827,47924.1563023736
2025-07-04,25,43118.6030656827,47577.4231561073
2025-07-04,26,43118.6030656827,46924.8374228881
2025-07-04,27,42350.4963625351,45908.8846291554
2025-07-04,28,42350.4963625351,45352.9679129894
2025-07-04,29,41918.4873936493,45009.7491368271
2025-07-04,30,41651.1146440406,44460.4636555039
2025-07-04,31,41097.5120078904,43835.1033028766
2025-07-04,32,40504.6682611609,43540.0959562451
2025-07-04,33,39315.4909401374,43156.4161232367
2025-07-04,34,39067.5139533678,42539.4331528878
2025-07-04,35,38734.3789772108,42123.4631622308
2025-07-04,36,38392.6876625082,41170.4006478806
2025-07-04,37,38153.5944944286,40859.0171265768
2025-07-04,38,37455.2451928712,40568.1290619314
2025-07-04,39,36004.8144530149,40374.6073309929
2025-07-04,40,36004.8144530149,40029.7197434108
2025-07-04,41,36004.8144530149,39484.0093822638
2025-07-04,42,35799.3421271358,39192.4245266697
2025-07-04,43,35187.9901880316,38470.7089099546
2025-07-04,44,34181.7670854799,37959.2286601238
2025-07-04,45,33708.8077773821,37248.3303698901
2025-07-04,46,33708.8077773821,36756.2560313942
2025-07-04,47,32692.5982833920,36698.5108624715
2025-07-04,48,32692.5982833920,36354.7761664193
2025-07-04,49,32679.3165977756,36086.0823135207
2025-07-04,50,32345.2262665949,35714.0671869561
2025-07-04,51,31545.9753040281,35799.9789593874
2025-07-04,52,31545.9753040281,35539.1307431235
2025-07-04,53,31545.9753040281,35112.1772179203
2025-07-04,54,30644.9726988442,34496.2951103542
2025-07-04,55,30644.9726988442,34270.8745765431
2025-07-04,56,30408.3004104843,34175.8649038631
2025-07-04,57,30309.2994821118,34211.7313754579
2025-07-04,58,30309.2994821118,33549.5379164873
2025-07-04,59,30270.8772652069,33443.4361628866
2025-07-04,60,29335.1303591814,32879.2368299629
2025-07-04,61,29335.1303591814,32498.3431395824
2025-07-04,62,29335.1303591814,32351.5198894366
2025-07-04,63,29335.1303591814,32328.1242830806
2025-07-04,64,29274.5723473020,32614.2665094062
2025-07-04,65,29274.5723473020,32198.3938293672
2025-07-04,66,28875.1852718754,32210.8162671126
2025-07-04,67,28875.1852718754,32093.5552399420
2025-07-04,68,28875.1852718754,31663.1280942375
2025-07-04,69,28875.1852718754,31663.3265286173
2025-07-04,70,28155.5371144708,31864.2313957846
2025-07-04,71,28155.5371144708,31856.8976922486
2025-07-04,72,27848.8529560805,31657.8981346368
2025-07-04,73,27848.8529560805,31570.5262099802
2025-07-04,74,27848.8529560805,31554.2100853787
2025-07-04,75,27848.8529560805,31626.7904244616
2025-07-04,76,27848.8529560805,31571.4634996750
2025-07-04,77,27848.8529560805,31621.7744605395
2025-07-04,78,26492.8989009548,31362.5393954859
2025-07-04,79,26492.8989009548,31021.3950080724
2025-07-04,80,26492.8989009548,30641.2295254456
2025-07-04,81,26492.8989009548,30485.3339824120
2025-07-04,82,26492.8989009548,30359.5422491368
2025-07-04,83,26492.8989009548,29990.9397954331
2025-07-04,84,26492.8989009548,29624.4772661847
2025-07-04,85,26492.8989009548,29698.4002888932
2025-07-04,86,26492.8989009548,29872.5161886918
2025-07-04,87,26492.8989009548,29800.2704767640
2025-07-04,88,26492.8989009548,29637.8521563727
2025-07-04,89,26492.8989009548,29888.8522723650
2025-07-04,90,26492.8989009548,29872.2354078110
2025-07-04,91,26492.8989009548,30141.4166469465
2025-07-04,92,26492.8989009548,29813.2158232155
2025-07-04,93,26492.8989009548,29941.1931710647
2025-07-04,94,26492.8989009548,29888.2534145897
2025-07-04,95,26220.9949205563,30077.6980732016
2025-07-04,96,26220.9949205563,30175.2066729355
2025-07-04,97,26220.9949205563,30189.7469189564
2025-07-04,98,26220.9949205563,29999.9375232482
2025-07-04,99,26220.9949205563,30235.7710876084
2025-07-04,100,26220.9949205563,29861.6022813503
2025-07-04,101,26220.9949205563,29739.5279621432
2025-07-04,102,26220.9949205563,30094.6819546954
2025-07-04,103,26220.9949205563,30464.9379919468
2025-07-04,104,26220.9949205563,30603.7668195378
2025-07-04,105,26077.0300540851,30469.5198863041
2025-07-04,106,26077.0300540851,30423.0464082134
2025-07-04,107,26077.0300540851,30289.4911870861
2025-07-04,108,26077.0300540851,30616.5428860033
2025-07-04,109,26077.0300540851,30558.1404196867
2025-07-04,110,26077.0300540851,30690.3842082271
2025-07-04,111,26077.0300540851,30746.3741683439
2025-07-04,112,26077.0300540851,30887.7633497088
2025-07-04,113,26077.0300540851,30598.2840023804
2025-07-04,114,26077.0300540851,30561.1081544188
2025-07-04,115,26077.0300540851,30215.4518704640
2025-07-04,116,26077.0300540851,30178.4615725640
2025-07-04,117,26077.0300540851,30088.9208571266
2025-07-04,118,26077.0300540851,29825.5333753986
2025-07-04,119,26077.0300540851,29951.7794279978
2025-08-09,0,78227.5749712296,87068.7609160020
2025-08-09,1,74564.8594216435,84390.9043799063
2025-08-09,2,73479.5752990608,82112.5784544731
2025-08-09,3,73479.5752990608,80224.6816949329
2025-08-09,4,72169.0069803701,77838.1649950540
2025-08-09,5,69070.1073705705,75841.6998779171
2025-08-09,6,66809.7977064159,73640.4919811511
2025-08-09,7,65345.8473982594,71892.9836456315
2025-08-09,8,61882.9555732408,69703.8363638250
2025-08-09,9,61881.7097151590,68609.7846186217
2025-08-09,10,61816.0242682926,66674.6001537896
2025-08-09,11,60071.3075673140,65837.2721095158
2025-08-09,12,58350.5794281718,64292.9052528527
2025-08-09,13,58350.5794281718,64091.1242439618
2025-08-09,14,58350.5794281718,63534.3956065750
2025-08-09,15,56772.7863714576,62193.9470135774
2025-08-09,16,56290.7271248137,61456.5102591876
2025-08-09,17,54904.4466078510,60399.6236465927
2025-08-09,18,54494.5986973449,58976.2235425394
2025-08-09,19,51715.4510888513,57592.0719938387
2025-08-09,20,51715.4510888513,56970.1490711309
2025-08-09,21,50912.0534933366,55914.2846426090
2025-08-09,22,49836.4591083746,55037.3021123670
2025-08-09,23,49836.4591083746,53684.1179380552
2025-08-09,24,49336.4546030355,52998.9692648071
2025-08-09,25,49336.4546030355,52589.6239870775
2025-08-09,26,48297.8498076167,51936.2558492102
2025-08-09,27,47810.7756417790,51317.7941220279
2025-08-09,28,47462.4375999886,51054.7832689985
2025-08-09,29,47061.2631493845,50426.3176169952
2025-08-09,30,45802.1835752030,49461.0014575712
2025-08-09,31,44397.7599502321,48080.2138568391
2025-08-09,32,44397.7599502321,47948.2690894146
2025-08-09,33,42703.5686725304,47338.5385813389
2025-08-09,34,41999.3382839010,46940.0106285037
2025-08-09,35,41999.3382839010,46529.0706935753
2025-08-09,36,41846.3089506431,45701.7333454469
2025-08-09,37,41323.2757934888,45644.2819738900
2025-08-09,38,40119.8051513886,44796.9852236236
2025-08-09,39,40119.8051513886,44661.9402593454
2025-08-09,40,39943.4725252621,44225.1406740012
2025-08-09,41,39943.4725252621,43628.7558252421
2025-08-09,42,39598.4134599774,43364.3375242350
2025-08-09,43,39023.1280474506,43309.5082220337
