month,weekday,soc,relative_future_cost
7,6,4800.0,571.0333333333328
7,6,6000.0,0.0
7,6,7200.0,-569.816666666673
7,6,8400.0,-1139.1500000000015
7,6,9600.0,-1705.800000000003
7,6,10800.0,-2227.466666666667
7,5,1200.0,2038.6182311231096
7,5,2400.0,1472.0512780366844
7,5,3600.0,952.6085442050025
7,5,4800.0,474.75359247999586
7,5,6000.0,0.0
7,5,7200.0,-473.4876969899997
7,5,8400.0,-945.6168201716646
7,5,9600.0,-1416.882221826665
7,5,10800.0,-1887.4241165450003
7,4,1200.0,2051.338246167903
7,4,2400.0,1484.3424407357998
7,4,3600.0,955.0104203242772
7,4,4800.0,474.8750883733337
7,4,6000.0,0.0
7,4,7200.0,-473.7432515383298
7,4,8400.0,-946.0162029383318
7,4,9600.0,-1417.3734717333318
7,4,10800.0,-1887.9739857200002
7,3,1200.0,2292.3499999999913
7,3,2400.0,1717.5499999999956
7,3,3600.0,1143.8333333333285
7,3,4800.0,571.0333333333256
7,3,6000.0,0.0
7,3,7200.0,-569.816666666673
7,3,8400.0,-1139.1500000000015
7,3,9600.0,-1705.800000000003
7,3,10800.0,-2227.466666666667
7,2,1200.0,2292.350000000006
7,2,2400.0,1717.5499999999956
7,2,3600.0,1143.8333333333285
7,2,4800.0,571.0333333333256
7,2,6000.0,0.0
7,2,7200.0,-569.8166666666657
7,2,8400.0,-1139.1500000000087
7,2,9600.0,-1705.800000000003
7,2,10800.0,-2227.466666666667
7,1,1200.0,2292.350000000006
7,1,2400.0,1717.550000000003
7,1,3600.0,1143.833333333343
7,1,4800.0,571.0333333333401
7,1,6000.0,0.0
7,1,7200.0,-569.8166666666657
7,1,8400.0,-1139.1499999999942
7,1,9600.0,-1705.7999999999956
7,1,10800.0,-2227.4666666666526
7,0,1200.0,2292.3499999999913
7,0,2400.0,1717.550000000003
7,0,3600.0,1143.833333333343
7,0,4800.0,571.0333333333401
7,0,6000.0,0.0
7,0,7200.0,-569.8166666666657
7,0,8400.0,-1139.1499999999942
7,0,9600.0,-1705.7999999999956
7,0,10800.0,-2227.466666666667
8,6,1200.0,2292.3499999999913
8,6,2400.0,1717.5499999999956
8,6,3600.0,1143.8333333333285
8,6,4800.0,571.0333333333256
8,6,6000.0,0.0
8,6,7200.0,-569.8166666666657
8,6,8400.0,-1139.1500000000015
8,6,9600.0,-1705.800000000003
8,6,10800.0,-2227.4666666666744
8,5,1200.0,2055.9021338809907
8,5,2400.0,1488.800228843953
8,5,3600.0,956.4906256810937
8,5,4800.0,475.34522505499626
8,5,6000.0,0.0
8,5,7200.0,-474.3149926666665
8,5,8400.0,-947.159741958334
8,5,9600.0,-1419.1253560733312
8,5,10800.0,-1890.361215718338
8,4,1200.0,2055.6249116362014
8,4,2400.0,1488.5139234880517
8,4,3600.0,956.1730800349396
8,4,4800.0,475.1721711049977
8,4,6000.0,0.0
8,4,7200.0,-474.2472290766673
8,4,8400.0,-946.8992601933351
8,4,9600.0,-1418.7773480016658
8,4,10800.0,-1889.9396613999997
8,3,1200.0,2292.350000000006
8,3,2400.0,1717.550000000003
8,3,3600.0,1143.8333333333358
8,3,4800.0,571.0333333333401
8,3,6000.0,0.0
8,3,7200.0,-569.8166666666657
8,3,8400.0,-1139.1500000000015
8,3,9600.0,-1705.800000000003
8,3,10800.0,-2227.46666666666
8,2,1200.0,2292.350000000006
8,2,2400.0,1717.550000000003
8,2,3600.0,1143.8333333333358
8,2,4800.0,571.0333333333401
8,2,6000.0,0.0
8,2,7200.0,-569.8166666666657
8,2,8400.0,-1139.1500000000015
8,2,9600.0,-1705.800000000003
8,2,10800.0,-2227.4666666666526
8,1,1200.0,2292.350000000006
8,1,2400.0,1717.550000000003
8,1,3600.0,1143.8333333333358
8,1,4800.0,571.0333333333328
8,1,6000.0,0.0
8,1,7200.0,-569.8166666666657
8,1,8400.0,-1139.1500000000015
8,1,9600.0,-1705.800000000003
8,1,10800.0,-2227.46666666666
8,0,1200.0,2292.350000000013
8,0,2400.0,1717.550000000003
8,0,3600.0,1143.8333333333358
8,0,4800.0,571.0333333333401
8,0,6000.0,0.0
8,0,7200.0,-569.8166666666657
8,0,8400.0,-1139.1500000000015
8,0,9600.0,-1705.800000000003
8,0,10800.0,-2227.4666666666526
9,6,1200.0,2292.350000000006
9,6,2400.0,1717.5499999999956
9,6,3600.0,1143.8333333333358
9,6,4800.0,571.0333333333328
9,6,6000.0,0.0
9,6,7200.0,-569.8166666666657
9,6,8400.0,-1139.1500000000015
9,6,9600.0,-1705.800000000003
9,6,10800.0,-2227.46666666666
9,5,1200.0,2063.913281586807
9,5,2400.0,1496.512253241126
9,5,3600.0,958.1977915785756
9,5,4800.0,475.6228152949989
9,5,6000.0,0.0
9,5,7200.0,-474.37996638666664
9,5,8400.0,-947.4046326450043
9,5,9600.0,-1419.5004198150054
9,5,10800.0,-1890.8784427483333
9,4,1200.0,2090.328065988633
9,4,2400.0,1522.14550797423
9,4,3600.0,964.15484691456
9,4,4800.0,476.63758754666924
9,4,6000.0,0.0
9,4,7200.0,-474.6054624933313
9,4,8400.0,-948.1325284566628
9,4,9600.0,-1420.4388304316672
9,4,10800.0,-1892.0355765533313
9,3,1200.0,2292.350000000013
9,3,2400.0,1717.550000000003
9,3,3600.0,1143.8333333333358
9,3,4800.0,571.0333333333328
9,3,6000.0,0.0
9,3,7200.0,-569.8166666666657
9,3,8400.0,-1139.1500000000015
9,3,9600.0,-1705.800000000003
9,3,10800.0,-2227.4666666666526
9,2,1200.0,2292.350000000006
9,2,2400.0,1717.550000000003
9,2,3600.0,1143.8333333333285
9,2,4800.0,571.0333333333328
9,2,6000.0,0.0
9,2,7200.0,-569.8166666666657
9,2,8400.0,-1139.1500000000015
9,2,9600.0,-1705.800000000003
9,2,10800.0,-2227.4666666666453
9,1,1200.0,2292.350000000006
9,1,2400.0,1717.550000000003
9,1,3600.0,1143.8333333333285
9,1,4800.0,571.0333333333328
9,1,6000.0,0.0
9,1,7200.0,-569.8166666666657
9,1,8400.0,-1139.1500000000015
9,1,9600.0,-1705.800000000003
9,1,10800.0,-2227.4666666666744
9,0,1200.0,2292.350000000006
9,0,2400.0,1717.550000000003
9,0,3600.0,1143.8333333333285
9,0,4800.0,571.0333333333328
9,0,6000.0,0.0
9,0,7200.0,-569.8166666666657
9,0,8400.0,-1139.1499999999942
9,0,9600.0,-1705.7999999999956
9,0,10800.0,-2227.46666666666
10,6,1200.0,2292.350000000006
10,6,2400.0,1717.5499999999956
10,6,3600.0,1143.8333333333358
10,6,4800.0,571.0333333333328
10,6,6000.0,0.0
10,6,7200.0,-569.8166666666657
10,6,8400.0,-1139.1500000000015
10,6,9600.0,-1705.800000000003
10,6,10800.0,-2227.4666666666526
10,5,1200.0,2146.935641447817
10,5,2400.0,1577.5746885589251
10,5,3600.0,1010.593253892257
10,5,4800.0,480.6298744425003
10,5,6000.0,0.0
10,5,7200.0,-475.34995278000133
10,5,8400.0,-949.6618189200017
10,5,9600.0,-1422.459850178333
10,5,10800.0,-1894.429390866666
10,4,1200.0,2141.7344720045658
10,4,2400.0,1572.385010058064
10,4,3600.0,1005.5414667000368
10,4,4800.0,479.57073477858285
10,4,6000.0,0.0
10,4,7200.0,-475.1096280499987
10,4,8400.0,-949.3614940666666
10,4,9600.0,-1422.061153091665
10,4,10800.0,-1893.9895495766687
10,3,1200.0,2292.350000000013
10,3,2400.0,1717.550000000003
10,3,3600.0,1143.8333333333358
10,3,4800.0,571.0333333333328
10,3,6000.0,0.0
10,3,7200.0,-569.8166666666657
10,3,8400.0,-1139.1500000000015
10,3,9600.0,-1705.7999999999956
10,3,10800.0,-2227.46666666666
10,2,1200.0,2292.3499999999985
10,2,2400.0,1717.550000000003
10,2,3600.0,1143.8333333333358
10,2,4800.0,571.0333333333328
10,2,6000.0,0.0
10,2,7200.0,-569.8166666666657
10,2,8400.0,-1139.1500000000015
10,2,9600.0,-1705.800000000003
10,2,10800.0,-2227.46666666666
10,1,1200.0,2292.3499999999913
10,1,2400.0,1717.5499999999956
10,1,3600.0,1143.8333333333285
10,1,4800.0,571.0333333333328
10,1,6000.0,0.0
10,1,7200.0,-569.816666666673
10,1,8400.0,-1139.1500000000087
10,1,9600.0,-1705.800000000003
10,1,10800.0,-2227.4666666666744
10,0,1200.0,2292.3499999999985
10,0,2400.0,1717.550000000003
10,0,3600.0,1143.8333333333358
10,0,4800.0,571.0333333333328
10,0,6000.0,0.0
10,0,7200.0,-569.8166666666657
10,0,8400.0,-1139.1500000000015
10,0,9600.0,-1705.800000000003
10,0,10800.0,-2227.46666666666
11,6,1200.0,2292.350000000006
11,6,2400.0,1717.550000000003
11,6,3600.0,1143.8333333333285
11,6,4800.0,571.0333333333256
11,6,6000.0,0.0
11,6,7200.0,-569.8166666666657
11,6,8400.0,-1139.1500000000087
11,6,9600.0,-1705.800000000003
11,6,10800.0,-2227.4666666666744
11,5,1200.0,2226.2403012436225
11,5,2400.0,1656.450209342387
