alpha0,alpha_update,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc
0.5000000000,0.7500000000,874127.3985292071,874105.7004652618,1024.5997261844,181.5270673635,70891.3681701810,14021.7914779796,795914.3756084727,81304.8910679391,-4116.4678733893,1295691.5563518347,1352561.1330440359,64787.7531236003,66017.8460842542,2068.3405039938
0.5000000000,0.8000000000,884865.7573367171,884766.5161004044,693.0487866117,123.6411310324,81033.1406389311,14248.0525229549,794492.0961200258,93796.5357129667,-4115.9232828872,1292392.3694150518,1359177.4575310280,65582.1811070863,67115.1434776856,2256.2986379307
0.5500000000,0.5000000000,853886.6842946318,854119.0026942361,14914.8709516459,2989.2543654280,27813.5928846126,19853.9627912602,811958.3529383715,33514.2249742918,-6500.7645696774,1322598.4495518166,1330558.0796451690,63747.7902415238,64029.1485719206,1452.6259411217
0.5500000000,0.5500000000,851127.3104453392,851355.7566929269,8661.4664040863,1741.0170728643,31359.0646926305,18210.7778226419,811500.2055739666,36811.2700768551,-5845.6316095689,1321535.7092029303,1334683.9960729189,63339.4342953646,63512.0076939420,1462.0117122360
0.5500000000,0.6000000000,851476.4431621603,851663.1963896063,4135.1939803679,841.2019058158,36038.6336644931,16968.1460224075,810735.5609461839,41921.5866120721,-5315.8983764637,1319762.0032697762,1338832.4909118619,63117.8515529702,63831.1793344571,1563.0720896329
0.5500000000,0.6500000000,855861.2236736785,855966.4265349258,2459.0545005763,492.0107521515,42270.3790817521,16461.6716420292,809655.3858898944,48866.8671225590,-5120.0838393512,1317256.3779942265,1343065.0854339493,63495.8138851878,64296.5855733729,1760.7433246959
0.5500000000,0.7000000000,862617.9860283138,862656.5237370530,1698.0471458391,317.9055470174,49981.1471789290,16371.5469565250,808508.4495055685,57442.5486489235,-5031.0592720173,1314595.8899767688,1348205.4901991726,63942.5057922578,64891.8349154907,1922.3340525636
0.5500000000,0.7500000000,870478.9348027339,870457.4099605161,1043.4225347639,185.5071932726,58235.9449130881,16441.0090487938,807520.6989309818,66870.7850829249,-4955.9717459365,1312304.6569111540,1354099.5927754482,64484.9577513860,65587.0880943537,2067.9206290827
0.5500000000,0.8000000000,880914.4632971322,880815.2220608194,686.9636588320,122.3035933294,68222.3707594537,16695.7668132288,806141.3278919929,79023.1803471371,-4937.0086008298,1309105.0024481777,1360631.6063944027,65278.8907247096,66685.6011847649,2256.2986379307
0.6000000000,0.5000000000,853110.2711254670,853323.8866668650,13656.7059882394,2681.1326049411,19893.9220271448,26123.7201807552,823423.1421652831,24775.7784644964,-8745.3554925519,1339093.5828380201,1332863.7846844094,63479.8902922039,63911.4735160111,1497.9600978294
