method,policy,month,planned_cost,emergency_cost,total_cost,emergency_kwh,spill_kwh
TeamA,H2_point,10,1009516.2936916269,258137.3110121664,1267653.6047037933,52587.24129598684,156424.08954319888
TeamA,H2_point,11,1157950.1470277652,221468.97652363166,1379419.123551397,47508.61155271654,52500.25330666508
TeamA,H2_point,12,1541655.3620700696,209483.84129378805,1751139.2033638577,47540.394548757635,40965.54982626933
TeamA,H3_quantile,2,1190231.369277783,9614.109384185502,1199845.4786619686,1763.5696664980778,136745.90252458808
TeamA,H3_quantile,3,1096396.4943310276,48794.32590072744,1145190.820231755,7711.312149238885,211115.68450647662
TeamA,H3_quantile,4,916085.992783233,48340.48837081695,964426.4811540501,7770.9191350106175,261278.65299658556
TeamA,H3_quantile,5,942691.3894085293,45595.551566782495,988286.9409753118,7199.250967648202,301084.12608573405
TeamA,H3_quantile,6,1254385.714266613,179834.55902378578,1434220.2732903985,30697.029740383387,205531.24825248204
TeamA,H3_quantile,7,1457702.2742741243,73717.50495933088,1531419.7792334552,13018.536658238714,279179.91922642646
TeamA,H3_quantile,8,1231904.2400756637,53453.071416121704,1285357.3114917856,8057.372882225405,285349.64068807336
TeamA,H3_quantile,9,1066545.029845909,120012.88270019181,1186557.9125461008,18697.34389293703,258003.70201412064
TeamA,H3_quantile,10,1124792.344063513,11844.446531394477,1136636.7905949075,2021.4986496314536,267391.27009685006
TeamA,H3_quantile,11,1257070.1871252968,6046.336030945789,1263116.5231562427,1091.3287741110573,143059.50326168115
TeamA,H3_quantile,12,1660126.110151483,43860.96515292137,1703987.0753044044,8529.447080633268,167505.63823867118
