method,policy,period,days,planned_cost,emergency_cost,total_cost,planned_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slots,events,solve_seconds,start_soc,end_soc,inventory_adjusted_cost,cvar90,cvar95,max_daily_cost,emergency_day_frequency,emergency_slot_frequency
TeamA,H0_fixed_SAA,later61,61,2927089.357011527,139848.63535778588,3066937.9923693133,4736618.040884934,37551.39203524757,351074.4071857742,1426766.7448302158,1155681.0633124746,1721.0,771.0,2.988143357998524,6000.0,6000.0,3066937.9923693133,68410.00133320728,70810.39552295386,75131.61706005136,1.0,0.19592440801457195
TeamA,H1_fixedQ_causal,full334,334,13478898.461288102,472454.4809808944,13951352.942268997,22123273.83270572,77722.60842132349,3050066.716494148,6376668.39783448,5164928.1681682505,684.0,238.0,15.88806414699684,6000.0,6192.48230853144,13951273.532623267,66056.75538290836,69909.61828932888,91255.97575028277,0.38622754491017963,0.014221556886227544
TeamA,H1_fixedQ_causal,development153,153,6318323.723473462,312677.11143788043,6631000.834911343,10254406.929019524,51055.18266619311,1630382.9511111015,2801864.7959967265,2269228.3836721107,455.0,148.0,7.118517424000856,6693.693839754765,7007.139490019103,6630871.521166962,66322.15312374852,72848.27628267278,91255.97575028277,0.45098039215686275,0.020651779230210603
TeamA,H1_fixedQ_causal,later61,61,2927089.357011527,48230.80716222127,2975320.164173748,4736618.040884934,9137.597612913109,341408.96907625126,1331950.0877277278,1079612.7625227985,74.0,28.0,2.988143357998524,7007.139490019103,6192.48230853144,2975656.2555198437,68721.3936114376,72295.96939245248,80157.51436009078,0.32786885245901637,0.008424408014571949
TeamA,H1_replan_SAA,full334,334,13367495.09476041,469251.8226687764,13836746.917429186,21863406.161811937,76932.60335253322,2777999.1727810595,6436720.333363521,5213570.2359467745,666.0,236.0,15.979058407001048,6000.0,6192.48230853144,13836667.507783456,65892.21420626646,69778.06825849699,93993.22513231498,0.38622754491017963,0.013847305389221557
TeamA,H1_replan_SAA,development153,153,6255063.1089576185,308084.9336237334,6563148.0425813515,10106767.226958511,50036.29024541917,1474441.644376839,2840194.860483441,2300275.7359063495,439.0,145.0,7.162638962999154,6693.693839754765,7007.139490019103,6563018.72883697,65864.55095747825,72657.80210706654,93993.22513231498,0.45098039215686275,0.01992556281771968
TeamA,H1_replan_SAA,later61,61,2910996.700051026,49794.60133024211,2960791.301381268,4698929.951142077,9427.523252003512,304049.95151464577,1331744.0532953038,1079445.874632535,76.0,30.0,3.0233225800011496,7007.139490019103,6192.48230853144,2961127.392727364,68774.65809497007,72676.2049727925,81377.96422992465,0.32786885245901637,0.008652094717668488
TeamA,H2_point,full334,334,12191304.978602633,2773713.766078646,14965018.744681278,20141822.540989224,518137.53734101856,1466779.4538183801,6600023.219525959,5346032.089980761,7443.0,1730.0,3.0879701999956524,6000.0,5985.24203918421,14965024.833160002,77539.21983849794,85818.75023588953,123565.17585867416,0.8862275449101796,0.15475299401197604
TeamA,H2_point,development153,153,5605975.502132097,1671170.2532076314,7277145.755339729,9155013.442409575,313837.9429321539,775239.4746371829,2900129.824259227,2348960.6618046807,4112.0,833.0,1.3995289729987235,6137.992598033861,6298.543537248324,7277079.519157806,84513.01319553661,92989.46963354878,123565.17585867416,0.9215686274509803,0.18663761801016704
TeamA,H2_point,later61,61,2699605.5090978346,430952.8178174197,3130558.3269152544,4409222.474204006,95049.00610147417,93465.80313293441,1363570.0226533485,1104773.6896974703,2432.0,683.0,0.5763318719982635,6298.543537248324,5985.24203918421,3130687.5811888445,75138.7554143451,81621.9318519707,89353.04504934914,1.0,0.2768670309653916
TeamA,H3_quantile,full334,334,13197931.145603176,641114.2410372042,13839045.38664038,21582753.772311367,106557.60959655611,2516245.2878916897,6493223.640384295,5259347.0413347315,896.0,244.0,3.1042641849985557,6000.0,6182.341529498447,13838970.160629377,67181.30826218733,71297.3827420145,103524.70965804618,0.41317365269461076,0.018629407850964737
TeamA,H3_quantile,development153,153,6135329.602525823,438862.46463082463,6574192.067156647,9912867.46685071,72491.781823416,1295455.7802779526,2881254.3472908726,2333793.627144699,580.0,145.0,1.40531003399974,6989.860069094291,7014.742470103535,6574181.801783876,68511.08464370258,76220.4740576961,103524.70965804618,0.48366013071895425,0.026325344952795933
TeamA,H3_quantile,later61,61,2917196.29727678,49907.30118386717,2967103.5984606463,4704641.709036051,9620.775854744325,310565.1415003523,1328616.6316859014,1076928.6325121247,91.0,25.0,0.5750634409992017,7014.742470103535,6182.341529498447,2967447.0100931427,68533.08012986544,72540.40661609496,80587.3407989587,0.29508196721311475,0.010359744990892532
