method,seed,target,period,MAE_kW,RMSE_kW,WAPE,MASE,R2,bias_actual_minus_forecast_kW,underestimate_frequency,peak_MAE_kW,price_weighted_MAE_kW,daily_energy_MAE_kWh,ramp_MAE_kW
A7 学习负荷+EWMA光伏,0,load,full_334,169.3762745883748,236.2797179001171,0.036687129833224634,0.9580337887440397,0.9718280955327634,2.0967110201577714,0.489042747837658,214.64409532299035,171.03511217526528,2051.0588056407523,125.97359094340398
A7 学习负荷+EWMA光伏,0,load,forecast_common_275,174.88466592683014,246.2930784802375,0.03755810242558717,0.950998069602642,0.9692922497139066,11.305987008219907,0.5026010101010101,226.11830745078476,177.236154713821,2244.0739974570106,125.92957901433847
A7 学习负荷+EWMA光伏,0,load,development_184,197.32827032330445,275.16266198282614,0.041583063031674854,0.9698800600304731,0.9611582964496388,2.476699246887111,0.48388435990338163,241.88109961362142,201.73742622721647,2860.295367360379,132.91448121364886
A7 学习负荷+EWMA光伏,0,load,holdout_61,140.57081282301408,190.49630745948295,0.031117724597830337,0.9151620590793323,0.9820414869503934,44.846314799895424,0.5658014571948998,207.3376437805724,138.0680779756483,1325.780416450493,114.21600809596946
A7 学习负荷+EWMA光伏,0,pv,full_334,212.96818911650118,400.1598014248896,0.08952555730667393,0.9919881856058894,0.9821681059586423,-16.07930658084212,0.27143629407850967,600.1464507749159,225.0310198827811,3673.833373971094,61.40613781075699
A7 学习负荷+EWMA光伏,0,pv,forecast_common_275,217.84119682190004,406.1990835688963,0.08967402082647465,0.9905012186532478,0.9820625983486307,-40.3332823109137,0.24497474747474748,595.0477166049849,230.62839015016365,3758.294417962468,61.96235572072157
A7 学习负荷+EWMA光伏,0,pv,development_184,237.88948784356742,437.05319278942034,0.09035616792619985,0.9469421969580043,0.9807239797330253,-37.19266024841441,0.26071859903381644,617.7676425961071,252.0133654406317,3901.033477105336,69.50501340674478
A7 学习负荷+EWMA光伏,0,pv,holdout_61,155.49216313682288,304.2847851876952,0.09248245246903102,1.2129215008306315,0.9838180723681031,-135.10568712871213,0.08822859744990892,456.7406741145482,161.84009337417265,3308.181067932681,36.66583776072663
A7 学习负荷+EWMA光伏,0,net,full_334,316.86897884119844,462.5880765177422,0.10559002097292529,0.9667394647721986,0.9649740840773042,18.17601760099988,0.5093770791749833,255.9204664843143,324.3243180397539,4449.445434990412,154.7709430244204
A7 学习负荷+EWMA光伏,0,net,forecast_common_275,325.7972696930879,473.0110326482128,0.10767316804090216,0.9609460601550034,0.9647825960563162,51.63926931913361,0.5421969696969697,262.79766490192526,334.3303058222592,4601.131645588355,155.52872784316253
A7 学习负荷+EWMA光伏,0,net,development_184,354.07261672044524,505.57837944281516,0.11673999373657647,0.9345284123971536,0.9634890338604589,39.669359495301535,0.5278532608695652,273.93215138606087,364.34463950548866,4763.777329702131,166.98763458823313
