method,period,total_cost_yuan_mean,total_cost_yuan_std,planned_cost_yuan_mean,emergency_cost_yuan_mean,emergency_kwh_mean,spill_kwh_mean,regret_vs_oracle_mean,saving_vs_manual_mean
LSTM,development_184,8059244.888321078,59627.70950615324,7240474.599907558,818770.2884135201,210820.20253404646,2013378.254769698,0.23517021145872893,-0.009131919855019785
LSTM,full_334,14686856.330826655,61075.887424581,13502914.347215109,1183941.9836115474,309531.113852257,3201427.235947738,0.19941200980638807,-0.004839175351889787
LSTM,holdout_61,3042409.106641198,7438.267763558247,2884500.6356271333,157908.47101406535,42387.653709688246,292312.34591791587,0.11541936621091235,0.008360051857513614
LightGBM,cost_common_245,11015249.81587414,0.0,10230312.170083955,784937.6457901893,208899.4907756918,2397513.6843816834,0.19052927856463442,0.0035391353227263167
LightGBM,development_184,7951671.335855936,0.0,7298179.31489712,653492.0209588159,172555.77242297417,2048125.3373209862,0.21868335079287604,0.004337816705794473
LightGBM,full_334,14580450.157519562,0.0,13524749.685113695,1055700.472405869,280769.1130640589,3199460.0461720624,0.19072227802803665,0.0024408775763756774
LightGBM,holdout_61,3063578.480018207,0.0,2932132.8551868335,131445.62483137345,36343.718352717646,349388.34706069715,0.12318056077995365,0.0014601263110239904
MLP,cost_common_245,10892943.03073425,7230.74692953194,10237058.022597892,655885.0081363603,175450.087704879,2390016.2883072807,0.1773103492520812,0.014603244345543017
MLP,development_184,7857960.10203457,7523.653047798539,7322438.870564704,535521.2314698658,142373.5049683615,2061833.7101347484,0.2043210468674883,0.016071794095559328
MLP,full_334,14496463.592897633,5273.049315947245,13499702.87021477,996760.7226828648,265389.5806226502,3157666.6164232753,0.18386345868638573,0.008187035122575756
MLP,holdout_61,3034982.928699681,1532.8813109592224,2914619.152033186,120363.77666649448,33076.58273651751,328182.57817253226,0.11269675317546783,0.010780533275593696
ManualWeekly,cost_common_245,11054372.736897878,0.0,10249728.030855492,804644.7060423903,212089.69433912286,2433109.616420322,0.1947576876992696,0.0
ManualWeekly,development_184,7986314.504330549,0.0,7324816.265598633,661498.2387319154,173216.7580817419,2084653.9173386286,0.22399280723989357,0.0
ManualWeekly,full_334,14616126.332538128,0.0,13547154.319914218,1068972.012623909,282725.58978864655,3233214.646283269,0.1936357968789979,0.0
ManualWeekly,holdout_61,3068058.232567332,0.0,2924911.7652568566,143146.46731047492,38872.936257380956,348455.6990816932,0.12482294435625163,0.0
Ridge,cost_common_245,10892123.433697805,0.0,10165399.231035054,726724.2026627527,191703.12954766228,2301018.281555958,0.17722176712413829,0.014677386683236149
Ridge,development_184,7851644.9535666425,0.0,7240798.943905931,610846.0096607109,160256.82750652282,1961712.7264114907,0.2033531791110652,0.016862540373395407
Ridge,full_334,14460667.441351887,0.0,13453123.815202734,1007543.6261491538,267192.1043946597,3089531.4367110096,0.18094014187156127,0.010636121202658333
Ridge,holdout_61,3040478.480131164,0.0,2924600.2871291228,115878.19300204169,31446.302041139457,339305.5551444671,0.11471155272405698,0.008989318437117588
SeasonalEWMA,cost_common_245,11274939.94849353,0.0,10378867.10862388,896072.8398696496,234339.9648743901,2645788.70057368,0.21859661352349935,-0.019952937796228865
SeasonalEWMA,development_184,8160575.72955298,0.0,7413738.710785782,746837.0187671982,193517.8985889343,2240042.1798784006,0.2507003061916826,-0.021819980308556364
SeasonalEWMA,full_334,14842557.969966825,0.0,13697290.252888419,1145267.7170784061,300627.4760776651,3473049.518263648,0.2121274889889062,-0.015491904782228172
SeasonalEWMA,holdout_61,3114364.2189405505,0.0,2965128.3978380985,149235.82110245145,40822.066285455796,405746.5206952792,0.14179981767004746,-0.015092929424116441
SeasonalNaive7,cost_common_245,11574149.84167525,0.0,10585056.998119753,989092.8435554947,261798.51165033336,2962680.259512218,0.2509352480731839,-0.04702004511232305
SeasonalNaive7,development_184,8403764.131108949,0.0,7585303.112516505,818461.0185924447,215599.13928366668,2502387.463548998,0.2879716726207491,-0.05227062201870947
SeasonalNaive7,full_334,15173989.136531651,0.0,13907681.145579439,1266307.9909522114,335376.611767,3805029.8480363293,0.23919403833395703,-0.038167623301915476
SeasonalNaive7,holdout_61,3170385.7105662995,0.0,2999753.88560325,170631.82496305,46199.372366666656,460292.79596322024,0.1623386257307322,-0.03335252144589851
SimplexWeekly,cost_common_245,11286963.009035137,0.0,10401234.14908323,885728.8599519077,232131.01395625863,2677124.375834631,0.21989606708397247,-0.02104056717401126
SimplexWeekly,development_184,8167527.567764664,0.0,7429018.878433707,738508.6893309574,191907.19380276772,2261957.7183183385,0.2517657538350959,-0.022690449184771255
SimplexWeekly,full_334,14862628.71057215,0.0,13717799.083999407,1144829.6265727421,301078.39377546194,3505213.7613853742,0.2137665795325514,-0.016865096293349868
SimplexWeekly,holdout_61,3119435.4412704734,0.0,2972215.2706495235,147220.1706209503,40223.8201534909,415166.65751629276,0.1436590481018818,-0.016745838836360383
StructuralStateSpace,cost_common_245,11130473.806282643,0.0,10318525.82198462,811947.984298024,216183.10638796404,2540461.612245045,0.2029826987291672,-0.006884250350157828
StructuralStateSpace,development_184,8121757.029438545,0.0,7421188.08541863,700568.9440199139,185800.81450713714,2239061.2359243985,0.2447509024084098,-0.016959327739290986
StructuralStateSpace,full_334,14860442.080120508,0.0,13664076.792055182,1196365.2880653269,317257.71805482684,3432529.640635829,0.2135880068846252,-0.016715492328394088
StructuralStateSpace,holdout_61,3008716.7768440996,0.0,2897337.7365659894,111379.04027811017,30382.29188082691,301400.37632064667,0.10306695868412263,0.019341697981258954
WeeklyTrend,cost_common_245,11168542.482905068,0.0,10340506.42303351,828036.0598715579,218329.40053482214,2581810.9121446228,0.20709716502569098,-0.010328016679418406
WeeklyTrend,development_184,8075550.148228481,0.0,7393329.191595428,682220.9566330527,178798.09054426802,2200554.299857186,0.23766917651150976,-0.011173569967667163
WeeklyTrend,full_334,14755651.657166395,0.0,13643251.1908538,1112400.4663125966,293728.9904335864,3397388.2656289227,0.2050302264466124,-0.00954598512997662
WeeklyTrend,holdout_61,3092992.3346765875,0.0,2947177.2314380826,145815.10323850517,39531.30999055408,381256.6122874366,0.13396437780484138,-0.008126997670572456
XGBoost,cost_common_245,10958085.652487071,0.0,10209689.528101567,748396.1243855036,200492.07226043235,2369891.7593880333,0.1843509701890147,0.008710316424324516
XGBoost,development_184,7901030.32224311,0.0,7278613.045579845,622417.2766632654,165481.73214051238,2019024.4887886858,0.21092204407501192,0.010678790829135809
XGBoost,full_334,14524863.864463374,0.0,13503080.736025859,1021783.1284375149,272944.12516043894,3171246.35847441,0.18618278598355653,0.006243957256416688
XGBoost,holdout_61,3057055.3302439624,0.0,2931076.482521724,125978.84772223826,35010.34011991998,350867.27059934766,0.12078901929692165,0.003586275581921594
