method,seed,period,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_purchase_kwh,emergency_kwh,spill_kwh,emergency_slot_frequency,emergency_day_frequency,emergency_event_count,oracle_cost_yuan,regret_vs_oracle,saving_vs_manual
EqualWeekly,0,cost_common_245,10286425.369528852,912443.0674159362,11198868.43694479,16730860.88343501,239026.6617312083,2513780.4062570753,0.20314625850340137,0.9959183673469387,2647,9252397.243984384,0.21037479710741347,-0.013071361305251328
EqualWeekly,0,development_184,7332527.126204169,763808.6289100528,8096335.755114222,11961660.756484903,197630.338810375,2126870.5444763503,0.2061443236714976,0.9945652173913043,1933,6524805.094516614,0.24085480529039982,-0.013776223153247225
EqualWeekly,0,holdout_61,2953898.243324684,148634.43850588336,3102532.6818305664,4769200.126950109,41396.32292083334,386909.8617807247,0.19410291438979962,1.0,714,2727592.149467768,0.13746209543679755,-0.011236569403177965
ExpandingMean,0,full_334,15094980.454294423,1523964.7221264904,16618945.176420914,24461107.859886587,394985.79557836725,5526417.949864969,0.22858449767132402,0.7904191616766467,3575,12245046.91527763,0.35719734611111664,-0.13702801948448884
ExpandingMean,0,cost_common_245,11584973.860199623,1268850.0067384746,12853823.866938097,18600107.953373633,329334.34006844135,4422281.011969419,0.24265873015873016,0.7387755102040816,2517,9252397.243984384,0.3892425420120442,-0.16278183962749093
ExpandingMean,0,development_184,8287726.963978124,931127.7880819485,9218854.752060072,13372855.81348423,239399.3408857816,3537464.133170602,0.2204861111111111,0.7445652173913043,1739,6524805.094516614,0.41289350693517446,-0.15433154392569715
ExpandingMean,0,holdout_61,3297246.8962214994,337722.21865652595,3634969.114878026,5227252.139889407,89934.9991826598,884816.8787988176,0.309540072859745,0.7213114754098361,778,2727592.149467768,0.33266592499443615,-0.18477839706331323
KalmanLocalLevel,0,full_334,15558229.723472498,1613621.812040736,17171851.535513233,25106091.724929966,418042.6514135108,6155688.512551824,0.21290751829673984,0.7934131736526946,3515,12245046.91527763,0.40235081615641954,-0.17485653481836705
KalmanLocalLevel,0,cost_common_245,12086231.878278736,1095245.0060587772,13181476.884337515,19305790.266833864,285872.5215418584,5047145.891781244,0.20376984126984127,0.7428571428571429,2404,9252397.243984384,0.4246553122119452,-0.19242196713158344
KalmanLocalLevel,0,development_184,8668265.352797719,908865.6631138388,9577131.015911559,13910293.325088624,237407.90305293186,4038927.8707984514,0.19719957729468598,0.75,1714,6524805.094516614,0.46780338679542943,-0.19919282050793208
KalmanLocalLevel,0,holdout_61,3417966.525481017,186379.34294493834,3604345.868425955,5395496.941745243,48464.61848892655,1008218.0209827918,0.22358834244080145,0.7213114754098361,690,2727592.149467768,0.3214387162425536,-0.17479708506375413
LSTM,2026,full_334,13483407.411792055,1150529.5302542145,14633936.942046268,22132343.173857667,300606.5939811068,3164249.4864534233,0.1964820359281437,0.9790419161676647,3784,12245046.91527763,0.19509031229501628,-0.0012185588098325706
LSTM,2026,cost_common_245,10100760.781841887,945859.820208214,11046620.602050103,16467679.959400177,244997.97309423823,2260860.6110891355,0.20719954648526076,0.9714285714285714,2747,9252397.243984384,0.19391983620593733,0.0007012731551832019
