method,seed,date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_purchase_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slot_count,emergency_day_count,emergency_event_count
LSTM,2026,2025-05-01,28763.344874555827,39117.214921312814,67880.55979586864,48228.002588962045,8404.20734899824,2399.860871559115,16952.475086321967,13731.504819920792,91,1,10
LSTM,2026,2025-05-02,12793.420344920632,31550.876393331895,44344.296738252524,26674.01146916161,6896.397803396851,16240.089189225135,15999.999999999995,12960.0,74,1,7
LSTM,2026,2025-05-03,13474.113580538322,10225.664315200094,23699.777895738414,27717.503363136064,2035.673668897579,17846.005382033647,15999.999999999998,12960.0,48,1,9
LSTM,2026,2025-05-04,33597.80043943232,12975.848221471811,46573.64866090413,55996.64342201879,3585.946964201785,4132.151799218898,19556.690808780753,15840.919555112412,70,1,16
LSTM,2026,2025-05-05,34865.339028316754,15533.32507270257,50398.66410101933,57853.33361080357,3432.5061610327803,2537.4451167650523,19328.35713195426,15655.969276882954,74,1,20
LSTM,2026,2025-05-06,35771.32055765549,8509.575084028857,44280.89564168434,59367.188699213664,2007.7949458404262,4787.613644864629,19564.67175538314,15847.384121860345,62,1,20
LSTM,2026,2025-05-07,36163.46256167756,9517.025737828524,45680.48829950608,60090.6670659367,2248.687213392322,3468.9154227209383,20013.64687688469,16211.053970276598,58,1,19
LSTM,2026,2025-05-08,36914.54278278959,9394.550592126623,46309.093374916214,61118.34788627512,2763.2006319624584,4200.92419984683,20284.799570477655,16430.687652086897,51,1,15
LSTM,2026,2025-05-09,16263.342767379778,712.2996012511348,16975.642368630914,30740.790462499615,166.75523006385714,19364.522861702408,16019.142004531916,12975.50502367085,16,1,8
LSTM,2026,2025-05-10,16907.255434309664,1127.7501026638433,18035.005536973506,31571.84913793813,313.1957860469406,16723.999640651742,15999.999999999993,12960.0,15,1,8
LSTM,2026,2025-05-11,37964.86998109183,5848.023462563508,43812.89344365534,62975.99861556271,1400.447033461675,5010.256129479058,20432.16019058945,16550.049754377455,43,1,17
LSTM,2026,2025-05-12,38089.167393924145,3658.539565192603,41747.706959116746,63123.78735143793,1309.098477356493,8646.018398165153,20293.01156471549,16437.339367419547,27,1,11
LSTM,2026,2025-05-13,38107.32414979751,1376.7294820607983,39484.05363185831,63050.049165381715,408.0493026594242,6498.463937727459,20160.114545510613,16329.692781863596,16,1,10
LSTM,2026,2025-05-14,37938.91607132913,1637.1463153728234,39576.06238670195,62993.668477613675,502.10191961207283,6628.551151062773,20279.31822541922,16426.24776258957,29,1,16
LSTM,2026,2025-05-15,38437.6215544581,1632.2810610300003,40069.9026154881,63622.20883762652,427.21256769221145,7400.072899509198,20443.632749874796,16559.34252739859,23,1,12
LSTM,2026,2025-05-16,16596.340723992183,431.81031782102525,17028.15104181321,31102.15998084752,130.00299995658582,25476.57304372896,16000.43896706216,12960.35556332035,9,1,6
LSTM,2026,2025-05-17,16797.717044572993,1633.9455327362202,18431.662577309213,31367.051894512715,396.15407275895654,18274.40688393834,15999.999999999995,12959.999999999996,22,1,12
