origin,grid_size,iteration,weekday,support_violation,own_cut_error,dual_max,dual_min,history_min_day,history_max_day
2025-09-01,9,2,5,3.637978807091713e-12,3.637978807091713e-12,-0.382319991,-0.47433334444444447,164,241
2025-09-01,9,2,4,0.0,0.0,-0.38231999099999997,-0.47455556666666665,163,240
2025-09-01,9,2,3,1.4551915228366852e-11,7.275957614183426e-12,-0.38231999099999997,-0.47900001111111107,162,239
2025-09-01,9,2,2,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,161,238
2025-09-01,9,2,1,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,160,237
2025-09-01,9,2,0,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,159,236
2025-10-01,9,1,6,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,193,270
2025-10-01,9,1,5,0.0,0.0,-0.38231999099999997,-0.4745555666666667,192,269
2025-10-01,9,1,4,0.0,3.637978807091713e-12,-0.38231999099999997,-0.47455556666666665,191,268
2025-10-01,9,1,3,3.637978807091713e-11,0.0,-0.38231999099999997,-0.47900001111111107,190,267
2025-10-01,9,1,2,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,189,266
2025-10-01,9,1,1,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,195,265
2025-10-01,9,1,0,7.275957614183426e-12,0.0,-0.38447999099999997,-0.47900001111111107,194,271
2025-10-01,9,2,6,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,193,270
2025-10-01,9,2,5,0.0,0.0,-0.38231999099999997,-0.4745555666666667,192,269
2025-10-01,9,2,4,0.0,3.637978807091713e-12,-0.38231999099999997,-0.47455556666666665,191,268
2025-10-01,9,2,3,3.637978807091713e-11,0.0,-0.38231999099999997,-0.47900001111111107,190,267
2025-10-01,9,2,2,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,189,266
2025-10-01,9,2,1,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,195,265
2025-10-01,9,2,0,7.275957614183426e-12,0.0,-0.38447999099999997,-0.47900001111111107,194,271
2025-11-01,9,1,6,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,221,298
2025-11-01,9,1,5,0.0,0.0,-0.38231999099999997,-0.47544445555555553,220,297
2025-11-01,9,1,4,0.0,0.0,-0.38231999099999997,-0.47544445555555553,226,296
2025-11-01,9,1,3,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,225,302
2025-11-01,9,1,2,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,224,301
2025-11-01,9,1,1,7.275957614183426e-12,0.0,-0.38447999099999997,-0.47900001111111107,223,300
2025-11-01,9,1,0,0.0,0.0,-0.38231999099999997,-0.47900001111111107,222,299
2025-11-01,9,2,6,0.0,0.0,-0.38231999099999997,-0.47900001111111107,221,298
2025-11-01,9,2,5,0.0,0.0,-0.38231999099999997,-0.47544445555555553,220,297
2025-11-01,9,2,4,0.0,0.0,-0.38231999099999997,-0.47544445555555553,226,296
2025-11-01,9,2,3,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,225,302
2025-11-01,9,2,2,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,224,301
2025-11-01,9,2,1,7.275957614183426e-12,0.0,-0.38447999099999997,-0.47900001111111107,223,300
2025-11-01,9,2,0,0.0,0.0,-0.38231999099999997,-0.47900001111111107,222,299
2025-12-01,9,1,6,0.0,0.0,-0.38231999099999997,-0.47900001111111107,256,326
2025-12-01,9,1,5,3.637978807091713e-12,3.637978807091713e-12,-0.38231999099999997,-0.47788889999999995,255,332
2025-12-01,9,1,4,0.0,0.0,-0.38231999099999997,-0.47788889999999995,254,331
2025-12-01,9,1,3,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,253,330
2025-12-01,9,1,2,2.1827872842550278e-11,0.0,-0.38231999099999997,-0.47900001111111107,252,329
2025-12-01,9,1,1,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,251,328
2025-12-01,9,1,0,2.1827872842550278e-11,0.0,-0.38447999099999997,-0.47900001111111107,250,327
2025-12-01,9,2,6,0.0,0.0,-0.387989991,-0.47900001111111107,256,326
2025-12-01,9,2,5,3.637978807091713e-12,3.637978807091713e-12,-0.38231999099999997,-0.47788889999999995,255,332
2025-12-01,9,2,4,0.0,0.0,-0.38231999099999997,-0.47788889999999995,254,331
2025-12-01,9,2,3,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,253,330
2025-12-01,9,2,2,2.1827872842550278e-11,0.0,-0.38231999099999997,-0.47900001111111107,252,329
2025-12-01,9,2,1,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,251,328
2025-12-01,9,2,0,2.1827872842550278e-11,0.0,-0.38447999099999997,-0.47900001111111107,250,327
2025-02-01,17,1,6,7.275957614183426e-12,0.0,-0.384479991,-0.47900001111111107,11,25
2025-02-01,17,1,5,3.637978807091713e-12,3.637978807091713e-12,-0.384479991,-0.47900001111111107,10,24
2025-02-01,17,1,4,7.275957614183426e-12,3.637978807091713e-12,-0.384209991,-0.47900001111111107,9,23
2025-02-01,17,1,3,1.4551915228366852e-11,7.275957614183426e-12,-0.384479991,-0.47900001111111107,8,29
2025-02-01,17,1,2,7.275957614183426e-12,7.275957614183426e-12,-0.38231999099999997,-0.47900001111111107,7,28
2025-02-01,17,1,1,7.275957614183426e-12,0.0,-0.384209991,-0.47900001111111107,13,27
2025-02-01,17,1,0,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,12,26
2025-02-01,17,2,6,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,11,25
2025-02-01,17,2,5,3.637978807091713e-12,3.637978807091713e-12,-0.384479991,-0.47900001111111107,10,24
2025-02-01,17,2,4,7.275957614183426e-12,3.637978807091713e-12,-0.384209991,-0.47900001111111107,9,23
2025-02-01,17,2,3,1.4551915228366852e-11,7.275957614183426e-12,-0.384479991,-0.47900001111111107,8,29
2025-02-01,17,2,2,7.275957614183426e-12,7.275957614183426e-12,-0.38231999099999997,-0.47900001111111107,7,28
2025-02-01,17,2,1,7.275957614183426e-12,0.0,-0.384209991,-0.47900001111111107,13,27
2025-02-01,17,2,0,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,12,26
2025-03-01,17,1,6,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,11,53
2025-03-01,17,1,5,3.637978807091713e-12,0.0,-0.38231999099999997,-0.47900001111111107,10,52
2025-03-01,17,1,4,7.275957614183426e-12,3.637978807091713e-12,-0.38231999099999997,-0.47900001111111107,9,51
2025-03-01,17,1,3,7.275957614183426e-12,0.0,-0.384479991,-0.47900001111111107,8,57
2025-03-01,17,1,2,7.275957614183426e-12,0.0,-0.384209991,-0.47900001111111107,7,56
2025-03-01,17,1,1,1.4551915228366852e-11,0.0,-0.384479991,-0.47900001111111107,13,55
2025-03-01,17,1,0,1.4551915228366852e-11,0.0,-0.384209991,-0.47900001111111107,12,54
2025-03-01,17,2,6,7.275957614183426e-12,0.0,-0.384479991,-0.47900001111111107,11,53
2025-03-01,17,2,5,3.637978807091713e-12,0.0,-0.38231999099999997,-0.47900001111111107,10,52
2025-03-01,17,2,4,7.275957614183426e-12,3.637978807091713e-12,-0.38231999099999997,-0.47900001111111107,9,51
2025-03-01,17,2,3,7.275957614183426e-12,0.0,-0.384479991,-0.47900001111111107,8,57
2025-03-01,17,2,2,7.275957614183426e-12,0.0,-0.384209991,-0.47900001111111107,7,56
2025-03-01,17,2,1,1.4551915228366852e-11,0.0,-0.384479991,-0.47900001111111107,13,55
2025-03-01,17,2,0,1.4551915228366852e-11,0.0,-0.384209991,-0.47900001111111107,12,54
2025-04-01,17,1,6,2.9103830456733704e-11,0.0,-0.38231999099999997,-0.47900001111111107,11,88
2025-04-01,17,1,5,1.0913936421275139e-11,0.0,-0.384479991,-0.47900001111111107,10,87
2025-04-01,17,1,4,3.637978807091713e-12,3.637978807091713e-12,-0.384209991,-0.47900001111111107,9,86
2025-04-01,17,1,3,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,8,85
2025-04-01,17,1,2,7.275957614183426e-12,0.0,-0.382319991,-0.47900001111111107,7,84
2025-04-01,17,1,1,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,13,83
2025-04-01,17,1,0,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,12,82
2025-04-01,17,2,6,2.9103830456733704e-11,0.0,-0.382319991,-0.47900001111111107,11,88
2025-04-01,17,2,5,1.0913936421275139e-11,0.0,-0.384479991,-0.47900001111111107,10,87
2025-04-01,17,2,4,3.637978807091713e-12,3.637978807091713e-12,-0.384209991,-0.47900001111111107,9,86
2025-04-01,17,2,3,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,8,85
2025-04-01,17,2,2,7.275957614183426e-12,0.0,-0.382319991,-0.47900001111111107,7,84
2025-04-01,17,2,1,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,13,83
2025-04-01,17,2,0,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,12,82
2025-05-01,17,1,6,7.275957614183426e-12,0.0,-0.384479991,-0.47900001111111107,39,116
2025-05-01,17,1,5,3.637978807091713e-12,3.637978807091713e-12,-0.382319991,-0.4770000111111112,38,115
2025-05-01,17,1,4,3.637978807091713e-12,0.0,-0.382319991,-0.47788889999999995,37,114
2025-05-01,17,1,3,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,36,113
2025-05-01,17,1,2,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,42,112
2025-05-01,17,1,1,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,41,118
2025-05-01,17,1,0,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,40,117
2025-05-01,17,2,6,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,39,116
2025-05-01,17,2,5,3.637978807091713e-12,0.0,-0.382319991,-0.4770000111111112,38,115
2025-05-01,17,2,4,3.637978807091713e-12,0.0,-0.382319991,-0.47788889999999995,37,114
2025-05-01,17,2,3,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,36,113
2025-05-01,17,2,2,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,42,112
2025-05-01,17,2,1,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,41,118
2025-05-01,17,2,0,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,40,117
2025-06-01,17,1,6,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,67,144
2025-06-01,17,1,5,3.637978807091713e-12,3.637978807091713e-12,-0.38231999099999997,-0.47455556666666665,73,143
2025-06-01,17,1,4,3.637978807091713e-12,1.8189894035458565e-12,-0.38231999099999997,-0.4746666777777778,72,149
2025-06-01,17,1,3,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,71,148
2025-06-01,17,1,2,1.4551915228366852e-11,0.0,-0.382319991,-0.47900001111111107,70,147
2025-06-01,17,1,1,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,69,146
2025-06-01,17,1,0,7.275957614183426e-12,0.0,-0.384479991,-0.47900001111111107,68,145
2025-06-01,17,2,6,1.4551915228366852e-11,0.0,-0.382319991,-0.47900001111111107,67,144
2025-06-01,17,2,5,3.637978807091713e-12,3.637978807091713e-12,-0.38231999099999997,-0.47455556666666665,73,143
2025-06-01,17,2,4,3.637978807091713e-12,1.8189894035458565e-12,-0.38231999099999997,-0.4746666777777778,72,149
2025-06-01,17,2,3,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,71,148
2025-06-01,17,2,2,1.4551915228366852e-11,0.0,-0.382319991,-0.47900001111111107,70,147
2025-06-01,17,2,1,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,69,146
2025-06-01,17,2,0,7.275957614183426e-12,0.0,-0.384479991,-0.47900001111111107,68,145
2025-07-01,17,1,6,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,102,179
2025-07-01,17,1,5,0.0,3.637978807091713e-12,-0.38231999099999997,-0.4743333444444444,101,178
2025-07-01,17,1,4,0.0,0.0,-0.38231999099999997,-0.4743333444444444,100,177
2025-07-01,17,1,3,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,99,176
2025-07-01,17,1,2,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,98,175
2025-07-01,17,1,1,1.4551915228366852e-11,0.0,-0.396089991,-0.47900001111111107,97,174
2025-07-01,17,1,0,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,103,173
2025-07-01,17,2,6,1.4551915228366852e-11,0.0,-0.3823199909999999,-0.47900001111111107,102,179
2025-07-01,17,2,5,0.0,0.0,-0.38231999099999997,-0.4743333444444444,101,178
2025-07-01,17,2,4,0.0,0.0,-0.38231999099999997,-0.4743333444444444,100,177
2025-07-01,17,2,3,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,99,176
2025-07-01,17,2,2,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,98,175
2025-07-01,17,2,1,1.4551915228366852e-11,0.0,-0.396089991,-0.47900001111111107,97,174
2025-07-01,17,2,0,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,103,173
2025-08-01,17,1,6,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,130,207
2025-08-01,17,1,5,7.275957614183426e-12,0.0,-0.38231999099999997,-0.4743333444444444,129,206
2025-08-01,17,1,4,3.637978807091713e-12,3.637978807091713e-12,-0.38231999099999997,-0.4743333444444444,128,205
2025-08-01,17,1,3,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,134,204
2025-08-01,17,1,2,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,133,210
2025-08-01,17,1,1,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,132,209
2025-08-01,17,1,0,1.4551915228366852e-11,0.0,-0.384209991,-0.47900001111111107,131,208
2025-08-01,17,2,6,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,130,207
2025-08-01,17,2,5,7.275957614183426e-12,0.0,-0.38231999099999997,-0.4743333444444444,129,206
2025-08-01,17,2,4,3.637978807091713e-12,3.637978807091713e-12,-0.38231999099999997,-0.4743333444444444,128,205
2025-08-01,17,2,3,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,134,204
2025-08-01,17,2,2,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,133,210
2025-08-01,17,2,1,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,132,209
2025-08-01,17,2,0,1.4551915228366852e-11,0.0,-0.384209991,-0.47900001111111107,131,208
2025-09-01,17,1,6,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,165,235
2025-09-01,17,1,5,3.637978807091713e-12,3.637978807091713e-12,-0.382319991,-0.47433334444444447,164,241
2025-09-01,17,1,4,3.637978807091713e-12,3.637978807091713e-12,-0.38231999099999997,-0.47455556666666665,163,240
2025-09-01,17,1,3,7.275957614183426e-12,7.275957614183426e-12,-0.38231999099999997,-0.47900001111111107,162,239
