grid_size,month,weekday,soc,relative_future_cost
9,2,0,4650.0,642.4500150000104
9,2,0,4800.0,571.0333466666766
9,2,0,4950.0,499.6166783333433
9,2,0,5100.0,428.20001000001
9,2,0,5250.0,356.78334166667673
9,2,0,5400.0,285.36667333334344
9,2,0,5550.0,213.95000500001015
9,2,0,5700.0,142.63333666666495
9,2,0,5850.0,71.31666833333156
9,2,0,6000.0,-1.3642420526593924e-12
9,2,0,6150.0,-71.31666833333475
9,2,0,6300.0,-142.63333666666813
9,2,0,6450.0,-213.9000050000027
9,2,0,6600.0,-285.0833400000024
9,2,0,6750.0,-356.2666750000026
9,2,0,6900.0,-427.45001000000275
9,2,0,7050.0,-498.63334500000246
9,2,0,7200.0,-569.8166800000026
9,2,0,7350.0,-641.0000150000023
9,2,0,7500.0,-712.1833500000025
9,2,0,7650.0,-783.3666850000027
9,2,0,7800.0,-854.5500200000024
9,2,0,7950.0,-925.7000216666729
9,2,0,8100.0,-996.8500233333398
9,2,0,8250.0,-1068.0000250000062
9,2,0,8400.0,-1139.150026666673
9,2,0,8550.0,-1210.3000283333395
9,2,0,8700.0,-1281.3000300000167
9,2,0,8850.0,-1352.050031666683
9,2,0,9000.0,-1422.8000333333503
9,2,0,9150.0,-1493.5500350000166
9,2,0,9300.0,-1564.300036666683
9,2,0,9450.0,-1635.0500383333501
9,2,0,9600.0,-1705.8000400000165
9,2,0,9750.0,-1776.5500416666837
9,2,0,9900.0,-1847.30004333335
9,2,0,10050.0,-1918.0500450000163
9,2,0,10200.0,-1988.8000466666836
9,2,0,10350.0,-2055.422724050012
9,2,0,10500.0,-2112.770722700012
9,2,0,10650.0,-2170.118721350012
9,2,0,10800.0,-2227.466720000012
9,3,6,1200.0,2292.3500533333427
9,3,6,1350.0,2220.500051666676
9,3,6,1500.0,2148.6500500000093
9,3,6,1650.0,2076.8000483333426
9,3,6,1800.0,2004.9500466666764
9,3,6,1950.0,1933.1000450000097
9,3,6,2100.0,1861.250043333343
9,3,6,2250.0,1789.4000416666763
9,3,6,2400.0,1717.5500400000096
9,3,6,2550.0,1645.700038333343
9,3,6,2700.0,1573.9333700000047
9,3,6,2850.0,1502.2500350000048
9,3,6,3000.0,1430.5667000000049
9,3,6,3150.0,1358.8833650000047
9,3,6,3300.0,1287.2000300000047
9,3,6,3450.0,1215.5166950000048
9,3,6,3600.0,1143.8333600000049
9,3,6,3750.0,1072.150025000005
9,3,6,3900.0,1000.4666900000047
9,3,6,4050.0,928.7833550000048
9,3,6,4200.0,857.1000200000049
9,3,6,4350.0,785.4166850000047
9,3,6,4500.0,713.8666833333291
9,3,6,4650.0,642.4500149999958
9,3,6,4800.0,571.033346666662
9,3,6,4950.0,499.61667833332876
9,3,6,5100.0,428.2000099999955
9,3,6,5250.0,356.7833416666622
9,3,6,5400.0,285.3666733333289
