day,date,beta,budget_index,risk_reduction_fraction,risk_budget,scenario_expected,scenario_cvar,risk_multiplier,effective_tail_n,n_scenarios,max_history_day,solve_seconds,planned_cost,emergency_cost,total_cost,adjusted_cost,planned_kwh,emergency_kwh,spill_kwh,emergency_slots,emergency_day,events,initial_soc,terminal_soc,balance_residual,soc_residual
189,2025-07-09,0.95,3,0.75,72963.49077467347,63996.5877824376,72963.49078467346,0.4662791957947213,1.8666666666666687,42,188,0.252775937000024,62556.56264545504,0.0,62556.56264545504,62501.603443892185,95758.14746476068,0.0,18489.387055432257,0,0,0,9042.7212819236,9175.937768340427,1.1368683772161603e-13,9.094947017729282e-13
189,2025-07-09,0.95,4,1.0,69323.54615373992,68347.62625663278,69323.54616373993,36.63207005455068,1.8666666666666687,42,188,0.29769227399992815,68022.15282595844,0.0,68022.15282595844,67783.43790932685,103589.14521957072,0.0,26073.290258319044,0,0,0,9042.7212819236,9621.346180842102,1.1368683772161603e-13,8.810729923425242e-13
190,2025-07-10,0.9,0,0.0,78381.28991846008,61806.22223051836,78381.28991846008,0.0,3.7333333333333334,42,189,0.10680983700012803,57151.37988135576,0.0,57151.37988135576,57213.86361843269,89125.10320740624,0.0,12871.267824811886,0,0,0,7902.5777599715,7751.122431748406,1.1368683772161603e-13,9.094947017729282e-13
190,2025-07-10,0.9,1,0.25,75910.97797182592,61947.08401700572,75910.97798182593,0.12508256356161943,3.7333333333333334,42,189,0.18800841400002355,58377.314655826856,0.0,58377.314655826856,58324.625917542,90822.37302000461,0.0,14356.808989144316,0,0,0,7902.5777599715,8030.290834187421,1.1368683772161603e-13,9.094947017729282e-13
190,2025-07-10,0.9,2,0.5,73440.66602519176,62456.73169783016,73440.66603519178,0.3034280350997416,3.7333333333333334,42,189,0.22847375400010606,59888.73699183272,0.0,59888.73699183272,59668.23021530233,92749.12983123292,0.0,15971.945729250343,0,0,0,7902.5777599715,8437.06765729805,1.1368683772161603e-13,7.958078640513122e-13
190,2025-07-10,0.9,3,0.75,70970.3540785576,63498.07473532097,70970.35408855761,0.5505340570828221,3.7333333333333334,42,189,0.2547388950001732,61777.706392044965,0.0,61777.706392044965,61395.834565467514,95420.45883780665,0.0,18283.367886127704,0,0,0,7902.5777599715,8828.202979254302,1.1368683772161603e-13,9.094947017729282e-13
190,2025-07-10,0.9,4,1.0,68500.04213192344,66409.0578575183,68500.04214192348,25.65386317653005,3.7333333333333334,42,189,0.3037323020000713,65883.51143687223,0.0,65883.51143687223,65293.25052242231,100964.97546711178,0.0,23424.98085560876,0,0,0,7902.5777599715,9333.320617512363,1.1368683772161603e-13,9.094947017729282e-13
190,2025-07-10,0.95,0,0.0,84336.34913457958,61806.22223051836,84336.34913457958,0.0,1.8666666666666687,42,189,0.10680983700012803,57151.37988135576,0.0,57151.37988135576,57213.86361843269,89125.10320740624,0.0,12871.267824811886,0,0,0,7902.5777599715,7751.122431748406,1.1368683772161603e-13,9.094947017729282e-13
190,2025-07-10,0.95,1,0.25,80587.10342431074,61989.27029023289,80587.10343431072,0.10620496807290457,1.8666666666666687,42,189,0.18713934600009452,58552.90362583511,0.0,58552.90362583511,58507.52039834792,91029.7448463616,0.0,14591.587812829841,0,0,0,7902.5777599715,8012.582889889285,1.1368683772161603e-13,8.588685318500211e-13
190,2025-07-10,0.95,2,0.5,76837.85771404192,62649.74753357195,76837.85772404204,0.24489970294792296,1.8666666666666687,42,189,0.23470241899985922,60275.24939846304,0.0,60275.24939846304,60039.73834488662,93237.89189214483,0.0,16442.019051773215,0,0,0,7902.5777599715,8473.436764061955,1.1368683772161603e-13,7.958078640513122e-13
