alpha0,alpha_update,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc
0.8000000000,0.7000000000,866428.8751646775,866481.4874199008,1007.4848903548,185.8813491527,6003.0201552717,56358.7849689888,877050.7943596824,7663.3076482293,-19292.7117335889,1415743.4992735034,1365387.7344597860,63439.9559397866,63602.2815872311,9120.5726864040
0.8000000000,0.7500000000,870487.7866723270,870483.9448349879,673.4731944177,118.2279278727,8701.8743488880,51963.3948914109,876456.6983295585,10824.6272546690,-17467.0121063183,1414344.9198308825,1371083.3992883596,63855.9136394101,63884.7172833168,9257.4126629893
0.8000000000,0.8000000000,877741.8468288048,877699.5301898459,505.4347493045,88.7567819488,13875.2493313765,47338.4658190976,875599.4677581559,17099.4729149282,-15462.5285935837,1412326.6625659205,1378863.4460781992,64441.3781630765,64979.1046820534,9350.6723491134
0.8500000000,0.5000000000,881005.4717484971,881207.5401215935,13872.5818526335,2533.3963026810,1035.7591497282,101717.9899115836,902582.8097584167,1679.8330086153,-37129.7528711684,1453359.4167786804,1352677.1860168250,64797.3784597990,65446.5467629700,8758.3036153409
0.8500000000,0.5500000000,876247.7918922644,876433.7514791812,7680.7583799770,1398.0278113074,1053.6675681634,96358.5549914667,902101.2858481784,1671.3282966578,-35205.5806325488,1452226.2313607952,1356921.3439374918,64371.0155069617,65019.2699554505,8797.3499594335
0.8500000000,0.6000000000,873810.9374458923,873956.3961364137,3494.5198133410,626.3617907162,1163.0089176459,90239.4831408149,901350.1821696343,1815.1744494639,-32848.9389865471,1450458.1775520567,1361381.7033288875,64207.4177175626,64505.1869148893,8895.5207290425
0.8500000000,0.6500000000,874187.8149272549,874270.9593028337,1963.1841637708,360.5873062029,1226.6412960529,83700.7929763037,900505.5334999879,1887.6254482681,-30168.5281847720,1448469.7363786169,1365995.5846983660,63985.6030968068,64300.7418938389,9046.5653922485
0.8500000000,0.7000000000,875751.2926080370,875790.4059422542,1050.3290307484,188.0341598615,1569.5881296462,76857.5472441524,899666.7927571648,2332.5729645578,-27298.4021444341,1446495.2133632803,1371207.2542487739,64151.8638999881,64533.9684207932,9153.2929366207
0.8500000000,0.7500000000,878365.1173409969,878361.4506997193,744.7550686371,130.4305940063,2441.9165115630,71040.4026369993,899076.5401915372,3327.7924294046,-24783.9703485819,1445105.6986109717,1376507.2124855353,64357.0760648376,64800.9964759608,9256.9880024581
0.8500000000,0.8000000000,883025.3594925222,882969.5439325572,505.4347493045,88.7567819488,4881.7731388883,64842.1395067859,898205.3604074375,6362.8529565730,-22048.2886207929,1443054.4049413132,1383094.0385734155,64617.2687388610,65105.5665509021,9383.3925993301
0.9000000000,0.5000000000,905280.1932959870,905471.1363485440,13819.5354990703,2518.8641757934,266.6376777757,150785.8888129620,949366.4837912163,489.9078993145,-58395.7338936140,1510578.7413398777,1360059.4902046912,66930.8151627329,68105.9463579111,8785.2704574777
0.9000000000,0.5500000000,900596.8459482613,900771.6802146388,7733.7997424022,1406.6407226317,252.8675573772,145469.9566024711,948883.7950507617,427.5383066870,-56448.2871515894,1509442.5199478059,1364225.4309027118,66837.0719018892,67673.5223994185,8824.3168015703
0.9000000000,0.6000000000,898069.5751526791,898203.9085226613,3479.8016197549,622.5703961809,346.8372541785,139300.4263683766,948126.5857436869,546.5480539443,-54083.3602647070,1507659.9952010803,1368706.4060868821,66826.6514530113,67152.2540274797,8922.4875711793
0.9000000000,0.6500000000,898430.5447845355,898502.5638395749,1963.1841637708,360.5873062029,413.4294346535,132653.6326486765,947276.6244703735,628.2931333086,-51437.5569829173,1505659.0450178708,1373418.8418038480,66553.8680807262,66890.7839655033,9073.5322343853
0.9000000000,0.7000000000,899777.4876323481,899805.4756460262,1084.5889885384,193.8990845880,503.2047597525,125310.7198474921,946445.1259463767,739.0073184002,-48491.2346209671,1503701.5637226526,1378894.0486349131,66487.8473712633,67122.5440272839,9180.2597787575
0.9000000000,0.7500000000,902072.0879122706,902057.2959504537,797.6021877581,139.4774345645,564.6170670566,117944.5533137283,945850.7667521602,810.4576009850,-45386.7386286328,1502302.2622625164,1384922.3260158447,66578.5103435354,67364.0583951859,9283.9548445949
0.9000000000,0.8000000000,905308.1622669967,905241.2213864925,500.6777618783,87.9408213118,868.2510285495,109166.0988521883,944953.2813931539,1267.8764590079,-41413.6733470435,1500188.8013336337,1391890.9535099950,66773.5651807839,67728.2155777662,9410.3594414668
